date,facility_id,facility_name,region,department,electricity_kwh,fuel_liters,renewable_kwh,transport_km,process_units,production_output_tons,waste_tons,offsets_tco2e,scope1_tco2e,scope2_tco2e,scope3_tco2e,total_tco2e,carbon_intensity
2025-11-18,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,5908.53,518.43,884.63,891.49,1319.26,190.72,9.41,3.636,2.66694,1.674399,25.206813,25.912613,0.135869
2025-11-19,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3932.29,456.37,1170.5,795.13,1361.86,206.94,10.88,4.711,2.518116,0.934016,27.440265,26.181586,0.12652
2025-11-20,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3637.23,385.99,1056.77,833.47,1535.51,211.55,12.0,3.422,2.482642,0.871959,28.407775,28.340319,0.133964
2025-11-21,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3171.94,401.31,994.3,912.72,1411.35,222.05,7.64,3.103,2.43445,0.737875,27.710352,27.779661,0.125107
2025-11-22,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,2145.16,225.01,658.37,610.44,770.52,116.98,5.84,3.213,1.366243,0.50338,15.922596,14.578782,0.124624
2025-11-23,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,2136.72,295.61,657.54,592.67,962.88,132.76,5.88,2.874,1.71367,0.50085,17.559096,16.8993,0.127295
2025-11-24,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3257.96,556.51,780.46,787.84,1271.31,194.3,10.97,4.637,2.709032,0.832532,26.167835,25.07249,0.129043
2025-11-25,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3347.53,447.17,1260.61,733.51,1372.04,201.82,11.61,2.545,2.490292,0.713225,27.180466,27.839433,0.137939
2025-11-26,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3216.63,483.96,772.44,913.85,1481.4,183.29,10.2,3.009,2.715033,0.821388,24.787455,25.315314,0.138116
2025-11-27,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3756.51,425.89,1294.06,855.26,1213.36,164.53,7.37,3.479,2.323116,0.837738,21.623525,21.305875,0.129497
2025-11-28,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3707.71,470.11,837.22,968.99,963.24,137.03,7.34,3.657,2.253122,0.963263,18.847319,18.40625,0.134321
2025-11-29,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,2681.41,234.38,793.81,615.48,901.38,125.03,8.09,3.481,1.502228,0.638246,17.701073,16.360479,0.130849
2025-11-30,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,2388.1,285.05,966.03,487.71,936.59,143.43,7.09,4.715,1.643332,0.488126,19.103976,16.520027,0.115176
2025-12-01,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,4167.81,483.39,374.81,911.61,1340.25,197.38,9.17,3.329,2.594514,1.258352,25.80825,26.332555,0.133409
2025-12-02,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3761.15,512.68,935.4,821.43,1538.12,223.77,11.53,2.571,2.82208,0.950451,29.466341,30.667915,0.137051
2025-12-03,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3736.07,451.54,1332.53,1067.09,1480.9,206.71,12.44,2.687,2.656843,0.81907,28.239353,29.028417,0.140427
2025-12-04,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,4116.05,375.76,1763.45,950.73,1523.59,208.6,12.77,4.479,2.467488,0.810802,28.501305,27.300679,0.130873
2025-12-05,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3925.51,460.19,753.08,844.33,1718.13,216.21,10.16,3.744,2.836972,1.06118,28.121394,28.275213,0.130779
2025-12-06,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,1920.35,316.95,605.88,664.51,738.44,105.22,3.79,3.793,1.595961,0.445509,13.885021,12.133523,0.115311
2025-12-07,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,2139.42,330.87,516.68,542.09,1029.38,140.0,8.91,3.877,1.85441,0.545411,19.548366,18.071248,0.129077
2025-12-08,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3787.04,438.08,1211.59,871.66,1601.94,207.91,10.76,4.095,2.685306,0.873372,27.534256,26.998364,0.129854
2025-12-09,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3157.37,464.87,521.63,882.25,1449.15,214.24,12.13,3.878,2.630782,0.879593,28.772085,28.404821,0.132581
2025-12-10,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3414.98,384.66,992.2,902.34,1156.29,164.78,7.35,4.006,2.173628,0.818677,21.670955,20.657249,0.125365
2025-12-11,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3162.21,497.08,1078.78,797.44,1322.32,183.43,9.35,5.437,2.594434,0.708476,24.369214,22.235585,0.121224
2025-12-12,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3477.97,446.89,999.91,1032.72,961.19,136.65,10.1,3.237,2.201283,0.837062,20.003691,19.804887,0.144928
2025-12-13,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,1941.49,282.68,504.04,508.75,797.12,111.82,2.75,4.986,1.523824,0.484053,14.029093,11.050744,0.098828
2025-12-14,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,2484.04,293.03,589.11,819.02,699.66,105.27,3.27,2.982,1.528653,0.636613,13.764358,12.947132,0.122988
2025-12-15,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3508.7,439.83,1487.0,717.38,1308.11,191.19,11.47,4.166,2.41387,0.696199,26.014771,24.95849,0.130541
2025-12-16,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3344.39,547.1,1455.69,912.13,1130.32,157.5,6.29,3.106,2.588991,0.651716,20.47889,20.613415,0.130882
2025-12-17,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3484.12,429.88,1298.35,757.9,1361.6,203.6,8.75,4.23,2.439828,0.746575,26.176291,25.13275,0.123442
2025-12-18,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3293.96,519.89,1202.4,868.0,1266.86,169.18,8.06,3.08,2.622394,0.713604,22.401986,22.658268,0.133929
2025-12-19,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,3751.15,473.33,1543.13,1161.3,1426.59,203.13,11.21,4.063,2.687516,0.75876,27.412776,26.795772,0.131915
2025-12-20,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,2660.95,216.89,1211.11,498.19,936.13,129.47,7.69,2.6,1.462278,0.502135,17.920442,17.284745,0.133501
2025-12-21,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,2182.1,275.22,723.78,565.25,602.87,90.1,2.87,1.857,1.351406,0.495286,11.875912,11.865226,0.131693
2025-12-22,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,4359.71,486.99,1829.18,844.41,1595.32,208.68,10.44,3.408,2.805633,0.870788,27.463076,27.73177,0.132891
2025-12-23,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,4144.01,458.44,702.8,884.07,1260.47,183.35,8.34,3.765,2.45537,1.148827,23.992221,23.831904,0.12998
2025-12-24,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,4307.05,424.79,1313.44,855.3,1381.61,213.59,10.7,3.77,2.461482,1.013297,28.088071,27.792399,0.13012
2025-12-25,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,4537.83,419.32,1955.69,921.87,1356.17,207.84,11.02,4.324,2.438106,0.890311,27.670496,26.674815,0.12834
2025-12-26,FAC-DE-01,Digital Motor Works,Bavaria-DE,Assembly,4804.79,365.78,1904.2,911.34,1071.87,156.38,7.97,4.34,2.053808,0.994319,21.069252,19.777112,0.126469
